#ip,#ioc,#feed.name
208.43.245.213,sinkhole_abuse_filtered,sinkhole_ip
173.192.192.10,sinkhole_abuse_filtered,sinkhole_ip
199.231.211.108,sinkhole_abuse_filtered,sinkhole_ip
198.98.120.157,sinkhole_abuse_filtered,sinkhole_ip
192.42.116.41,sinkhole_abuse_filtered,sinkhole_ip
192.42.119.41,sinkhole_abuse_filtered,sinkhole_ip
104.155.47.38,sinkhole_abuse_filtered,sinkhole_ip
208.43.245.213,sinkhole_abuse,sinkhole_ip
173.192.192.10,sinkhole_abuse,sinkhole_ip
199.231.211.108,sinkhole_abuse,sinkhole_ip
198.98.120.157,sinkhole_abuse,sinkhole_ip
192.42.116.41,sinkhole_abuse,sinkhole_ip
192.42.119.41,sinkhole_abuse,sinkhole_ip
104.155.47.38,sinkhole_abuse,sinkhole_ip
195.22.26.231,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.232,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.192,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.193,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.194,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.195,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.196,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.197,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.198,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.199,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.200,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.201,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.202,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.203,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.204,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.205,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.206,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.207,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.208,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.209,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.210,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.211,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.212,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.213,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.214,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.215,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.216,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.218,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.219,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.220,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.221,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.222,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.223,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.224,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.225,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.226,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.227,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.228,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.230,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.231,sinkhole_anubis_filtered,sinkhole_ip
195.22.26.232,sinkhole_anubis_filtered,sinkhole_ip
